,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference,dup_id
CDS_CP066016.1_243283_243925_pos,I6H93_01120,QQB67292.1,,243283,243925,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004834292.1,dup_58
CDS_CP066016.1_556469_557560_neg,I6H93_02675,QQB67578.1,,556469,557560,neg,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_27
CDS_CP066016.1_2432618_2433709_neg,I6H93_11640,QQB65683.1,,2432618,2433709,neg,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_27
CDS_CP066016.1_2714070_2714730_neg,I6H93_13030,QQB65932.1,,2714070,2714730,neg,,recombinase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_010512305.1,dup_55
CDS_CP066016.1_1388407_1389498_pos,I6H93_06700,QQB68332.1,,1388407,1389498,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_27
CDS_CP066016.1_1552845_1553328_neg,I6H93_07475,QQB68472.1,,1552845,1553328,neg,,DUF2280 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000113267.1,dup_70
CDS_CP066016.1_123868_124432_pos,I6H93_00510,QQB67183.1,,123868,124432,pos,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005123227.1,dup_116
CDS_CP066016.1_536788_537343_pos,I6H93_02585,QQB67561.1,,536788,537343,pos,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001133100.1,dup_68
CDS_CP066016.1_907985_908204_neg,I6H93_04375,QQB67895.1,,907985,908204,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002035543.1,dup_92
CDS_CP066016.1_2637438_2638629_neg,I6H93_12600,QQB65855.1,tuf,2637438,2638629,neg,,elongation factor Tu,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994400.1,dup_24
CDS_CP066016.1_916910_917129_neg,I6H93_04450,QQB67909.1,,916910,917129,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002035543.1,dup_92
CDS_CP066016.1_2437744_2439541_neg,I6H93_11670,QQB65686.1,,2437744,2439541,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002048912.1,dup_9
CDS_CP066016.1_906529_906826_neg,I6H93_04365,QQB67893.1,,906529,906826,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000983197.1,dup_84
CDS_CP066016.1_3739055_3739973_pos,I6H93_18095,QQB66848.1,,3739055,3739973,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000094278.1,dup_34
CDS_CP066016.1_2697761_2699249_pos,I6H93_12905,QQB65910.1,,2697761,2699249,pos,,SulP family inorganic anion transporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000953322.1,dup_111
CDS_CP066016.1_3720153_3720333_pos,I6H93_17930,QQB66817.1,,3720153,3720333,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,dup_99
CDS_CP066016.1_891888_893115_neg,I6H93_04270,QQB67874.1,,891888,893115,neg,,replication protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004747182.1,dup_21
CDS_CP066016.1_231930_232140_neg,I6H93_01000,QQB67268.1,,231930,232140,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000418027.1,dup_117
CDS_CP066016.1_190940_193211_neg,I6H93_00785,QQB67227.1,,190940,193211,neg,,NADP-dependent malic enzyme,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996099.1,dup_5
CDS_CP066016.1_893249_893450_pos,I6H93_04275,QQB67875.1,,893249,893450,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001085704.1,dup_97
CDS_CP066016.1_1992695_1994138_neg,I6H93_09555,QQB68854.1,,1992695,1994138,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004803323.1,dup_15
CDS_CP066016.1_2431148_2432615_neg,I6H93_11635,QQB65682.1,,2431148,2432615,neg,,SulP family inorganic anion transporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001277980.1,dup_111
CDS_CP066016.1_728818_730030_pos,I6H93_03515,QQB67735.1,pcaF,728818,730030,pos,,3-oxoadipyl-CoA thiolase,,2.3.1.174,,COORDINATES: similar to AA sequence:RefSeq:YP_004995637.1,dup_110
CDS_CP066016.1_3707876_3708086_neg,I6H93_17830,QQB66799.1,,3707876,3708086,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000028945.1,dup_95
CDS_CP066016.1_3740042_3740558_pos,I6H93_18100,QQB66849.1,,3740042,3740558,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002132544.1,dup_120
CDS_CP066016.1_2754856_2755777_neg,I6H93_13260,QQB65973.1,,2754856,2755777,neg,,TniB family NTP-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016654430.1,dup_33
CDS_CP066016.1_196125_197216_pos,I6H93_00795,QQB67228.1,,196125,197216,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_27
CDS_CP066016.1_864849_865737_neg,I6H93_04135,QQB67850.1,,864849,865737,neg,,endonuclease/exonuclease/phosphatase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000426928.1,dup_36
CDS_CP066016.1_2422984_2423695_pos,I6H93_11595,QQB65674.1,,2422984,2423695,pos,,heteromeric transposase endonuclease subunit TnsA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000736393.1,dup_50
CDS_CP066016.1_898280_899507_neg,I6H93_04305,QQB67881.1,,898280,899507,neg,,replication protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004747182.1,dup_21
CDS_CP066016.1_1544057_1545044_pos,I6H93_07425,QQB68464.1,,1544057,1545044,pos,,right-handed parallel beta-helix repeat-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001068512.1,dup_29
CDS_CP066016.1_831700_833278_neg,I6H93_04000,QQB67827.1,,831700,833278,neg,,aldehyde dehydrogenase (NADP(+)),,,,COORDINATES: similar to AA sequence:RefSeq:WP_004747107.1,dup_106
CDS_CP066016.1_2750044_2750998_pos,I6H93_13240,QQB65969.1,trxB,2750044,2750998,pos,,thioredoxin-disulfide reductase,,1.8.1.9,,COORDINATES: similar to AA sequence:RefSeq:WP_004681738.1,dup_37
CDS_CP066016.1_2748273_2749317_pos,I6H93_13230,QQB65967.1,arsB,2748273,2749317,pos,,ACR3 family arsenite efflux transporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_019837818.1,dup_35
CDS_CP066016.1_909053_910211_neg,I6H93_04390,QQB67898.1,,909053,910211,neg,,replication initiation factor domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000505020.1,dup_23
CDS_CP066016.1_727462_728134_pos,I6H93_03505,QQB67733.1,,727462,728134,pos,,3-oxoacid CoA-transferase subunit A,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995594.1,dup_54
CDS_CP066016.1_2737547_2738387_neg,I6H93_13155,QQB65954.1,sul1,2737547,2738387,neg,,sulfonamide-resistant dihydropteroate synthase Sul1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000259031.1,dup_44
CDS_CP066016.1_2702468_2702876_pos,I6H93_12930,QQB65914.1,cadR,2702468,2702876,pos,,Cd(II)/Pb(II)-responsive transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001219642.1,dup_75
CDS_CP066017.1_927_1299_neg,I6H93_19470,QQB69060.1,,927,1299,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000504218.1,dup_79
CDS_CP066016.1_3751352_3751859_pos,I6H93_18165,QQB66862.1,,3751352,3751859,pos,,DUF1833 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000368376.1,dup_65
CDS_CP066016.1_3735426_3735795_pos,I6H93_18060,QQB66842.1,,3735426,3735795,pos,,glutamate 5-kinase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002062119.1,dup_81
CDS_CP066016.1_3718721_3718973_pos,I6H93_17910,QQB66813.1,,3718721,3718973,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001068421.1,dup_88
CDS_CP066016.1_2891732_2892443_neg,I6H93_13900,QQB66088.1,,2891732,2892443,neg,,GntR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997265.1,dup_48
CDS_CP066016.1_2425610_2426531_pos,I6H93_11605,QQB65676.1,,2425610,2426531,pos,,TniB family NTP-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016654430.1,dup_33
CDS_CP066016.1_2705686_2706526_neg,I6H93_12970,QQB65921.1,sul1,2705686,2706526,neg,,sulfonamide-resistant dihydropteroate synthase Sul1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000259031.1,dup_44
CDS_CP066016.1_3720398_3720584_pos,I6H93_17935,QQB66818.1,,3720398,3720584,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001278405.1,dup_100
CDS_CP066016.1_3828164_3828896_pos,I6H93_18530,QQB66928.1,,3828164,3828896,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000270944.1,dup_47
CDS_CP066016.1_914712_914931_neg,I6H93_04430,QQB67905.1,,914712,914931,neg,,phage coat protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001093109.1,dup_96
CDS_CP066016.1_3919971_3920547_pos,I6H93_18870,QQB66976.1,,3919971,3920547,pos,,helix-turn-helix transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005128086.1,dup_119
CDS_CP066016.1_236929_237115_pos,I6H93_01055,QQB67279.1,,236929,237115,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001278405.1,dup_100
CDS_CP066016.1_288860_289574_pos,I6H93_01375,QQB67338.1,,288860,289574,pos,,ABC transporter permease,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996061.1,dup_51
CDS_CP066016.1_2867835_2869266_neg,I6H93_13790,QQB66067.1,,2867835,2869266,neg,,amino acid permease,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016654442.1,dup_107
CDS_CP066016.1_1393285_1394212_neg,I6H93_06720,QQB68336.1,,1393285,1394212,neg,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005128960.1,dup_32
CDS_CP066016.1_784698_786273_pos,I6H93_03770,QQB67782.1,,784698,786273,pos,,aldehyde dehydrogenase (NADP(+)),,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995584.1,dup_106
CDS_CP066016.1_557665_558487_pos,I6H93_02680,QQB67579.1,,557665,558487,pos,,carbapenem-hydrolyzing class D beta-lactamase OXA-23,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001046004.1,dup_43
CDS_CP066016.1_2427668_2429099_pos,I6H93_11615,QQB65678.1,,2427668,2429099,pos,,transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002057050.1,dup_108
CDS_CP066016.1_897962_898265_neg,I6H93_04300,QQB67880.1,,897962,898265,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001177167.1,dup_85
CDS_CP066016.1_906111_906303_pos,I6H93_04360,QQB67892.1,,906111,906303,pos,,mobilization protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001140850.1,dup_101
CDS_CP066016.1_3718969_3719146_pos,I6H93_17915,QQB66814.1,,3718969,3719146,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001001967.1,dup_105
CDS_CP066016.1_2752270_2753719_neg,I6H93_13250,QQB65971.1,,2752270,2753719,neg,,transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005116093.1,dup_108
CDS_CP066016.1_1514452_1515007_neg,I6H93_07275,QQB68439.1,,1514452,1515007,neg,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002135219.1,dup_113
CDS_CP066017.1_9485_9659_neg,I6H93_19515,QQB69068.1,,9485,9659,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001282484.1,dup_104
CDS_CP066016.1_1588304_1589567_pos,I6H93_07695,QQB68512.1,,1588304,1589567,pos,,OprD family outer membrane porin,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994728.1,dup_2
CDS_CP066016.1_236684_236864_pos,I6H93_01050,QQB67278.1,,236684,236864,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,dup_99
CDS_CP066016.1_903575_903794_neg,I6H93_04335,QQB67887.1,,903575,903794,neg,,phage coat protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001093109.1,dup_96
CDS_CP066016.1_1617421_1617844_neg,I6H93_07815,QQB68535.1,,1617421,1617844,neg,,OsmC family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_019458150.1,dup_73
CDS_CP066016.1_1780017_1780458_neg,I6H93_08605,QQB68688.1,,1780017,1780458,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000773510.1,dup_72
CDS_CP066016.1_2465546_2465792_neg,I6H93_11820,QQB65714.1,,2465546,2465792,neg,,SlyX family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005037011.1,dup_89
CDS_CP066016.1_254125_254344_pos,I6H93_01200,QQB67305.1,,254125,254344,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005124461.1,dup_94
CDS_CP066016.1_891237_891429_pos,I6H93_04260,QQB67872.1,,891237,891429,pos,,mobilization protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001140850.1,dup_101
CDS_CP066016.1_1478383_1478944_neg,I6H93_07130,QQB68414.1,,1478383,1478944,neg,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001133101.1,dup_68
CDS_CP066016.1_1597220_1598786_pos,I6H93_07730,QQB68519.1,ahpF,1597220,1598786,pos,,alkyl hydroperoxide reductase subunit F,,1.8.1.-,,COORDINATES: similar to AA sequence:RefSeq:WP_000886779.1,dup_11
CDS_CP066016.1_1790476_1791031_neg,I6H93_08630,QQB68692.1,,1790476,1791031,neg,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002024621.1,dup_113
CDS_CP066016.1_901744_902029_neg,I6H93_04325,QQB67885.1,,901744,902029,neg,,DUF2523 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000050492.1,dup_87
CDS_CP066016.1_2700960_2701473_neg,I6H93_12920,QQB65912.1,,2700960,2701473,neg,,signal peptidase II,,3.4.23.36,,COORDINATES: similar to AA sequence:RefSeq:WP_013504665.1,dup_67
CDS_CP066016.1_903805_904000_neg,I6H93_04340,QQB67888.1,,903805,904000,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000367699.1,dup_98
CDS_CP066016.1_256969_257485_pos,I6H93_01220,QQB67309.1,,256969,257485,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002132544.1,dup_120
CDS_CP066016.1_378824_380312_neg,I6H93_01855,QQB67422.1,proP,378824,380312,neg,,glycine betaine/L-proline transporter ProP,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005138579.1,dup_12
CDS_CP066016.1_2433810_2434143_pos,I6H93_11645,QQB68994.1,,2433810,2434143,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000262332.1,dup_83
CDS_CP066016.1_1152601_1153138_pos,I6H93_05585,QQB68125.1,,1152601,1153138,pos,,DUF2058 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995193.1,dup_63
CDS_CP066016.1_900205_900427_neg,I6H93_04315,QQB67883.1,,900205,900427,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000166403.1,dup_115
CDS_CP066016.1_908317_908512_pos,I6H93_04380,QQB67896.1,,908317,908512,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_018679358.1,dup_103
CDS_CP066016.1_913168_914620_neg,I6H93_04425,QQB67904.1,,913168,914620,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000996663.1,dup_14
CDS_CP066016.1_3737862_3738960_pos,I6H93_18090,QQB66847.1,,3737862,3738960,pos,,phage tail protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001285006.1,dup_26
CDS_CP066016.1_774404_775076_neg,I6H93_03720,QQB67772.1,,774404,775076,neg,,3-oxoacid CoA-transferase subunit A,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995594.1,dup_54
CDS_CP066016.1_1541273_1541864_neg,I6H93_07405,QQB68461.1,,1541273,1541864,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000597964.1,dup_57
CDS_CP066016.1_1559109_1559703_neg,I6H93_07520,QQB68480.1,,1559109,1559703,neg,,DUF4142 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004738696.1,dup_60
CDS_CP066016.1_3919047_3919323_neg,I6H93_18865,QQB69047.1,,3919047,3919323,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000703425.1,dup_118
CDS_CP066016.1_255982_256900_pos,I6H93_01215,QQB67308.1,,255982,256900,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000094278.1,dup_34
CDS_CP066017.1_754_928_neg,I6H93_19465,QQB69059.1,,754,928,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001282484.1,dup_104
CDS_CP066016.1_2701476_2702373_neg,I6H93_12925,QQB65913.1,,2701476,2702373,neg,,cation transporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016807180.1,dup_39
CDS_CP066016.1_2744751_2745648_neg,I6H93_13200,QQB65962.1,,2744751,2745648,neg,,cation transporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016807180.1,dup_39
CDS_CP066016.1_3335565_3337671_neg,I6H93_15955,QQB66460.1,,3335565,3337671,neg,,"bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996908.1,dup_6
CDS_CP066016.1_750400_751657_neg,I6H93_03620,QQB67755.1,,750400,751657,neg,,OprD family outer membrane porin,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995615.1,dup_2
CDS_CP066016.1_3834941_3835874_pos,I6H93_18560,QQB66933.1,,3834941,3835874,pos,,IS5-like element ISAba13 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001043692.1,dup_31
CDS_CP066016.1_2233689_2234874_neg,I6H93_10725,QQB68982.1,,2233689,2234874,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002044116.1,dup_25
CDS_CP066017.1_0_432_pos,I6H93_19460,QQB69058.1,,0,432,pos,,DIP1984 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004781077.1,dup_74
CDS_CP066016.1_914942_915137_neg,I6H93_04435,QQB67906.1,,914942,915137,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000367699.1,dup_98
CDS_CP066016.1_2420905_2421676_pos,I6H93_11585,QQB65673.1,tatC,2420905,2421676,pos,,twin-arginine translocase subunit TatC,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997645.1,dup_45
CDS_CP066016.1_269482_272929_pos,I6H93_01285,QQB67322.1,,269482,272929,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000590508.1,dup_3
CDS_CP066016.1_3778088_3778994_pos,I6H93_18295,QQB66887.1,,3778088,3778994,pos,,AEC family transporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_003655390.1,dup_41
CDS_CP066016.1_908754_909051_neg,I6H93_04385,QQB67897.1,,908754,909051,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000983197.1,dup_84
CDS_CP066016.1_905773_905992_neg,I6H93_04355,QQB67891.1,,905773,905992,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002035543.1,dup_92
CDS_CP066016.1_2753711_2754827_neg,I6H93_13255,QQB65972.1,,2753711,2754827,neg,,TniQ family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000081836.1,dup_28
CDS_CP066016.1_3730946_3732053_pos,I6H93_18020,QQB66834.1,,3730946,3732053,pos,,minor capsid protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017817021.1,dup_112
CDS_CP066016.1_891570_891873_neg,I6H93_04265,QQB67873.1,,891570,891873,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001177167.1,dup_85
CDS_CP066016.1_839984_840857_pos,I6H93_04030,QQB67833.1,,839984,840857,pos,,NAD(P)-dependent oxidoreductase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995518.1,dup_40
CDS_CP066016.1_1399459_1400062_neg,I6H93_06775,QQB68345.1,,1399459,1400062,neg,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005124300.1,dup_119
CDS_CP066016.1_247320_248424_pos,I6H93_01140,QQB67296.1,,247320,248424,pos,,minor capsid protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000179760.1,dup_112
CDS_CP066016.1_252602_252971_pos,I6H93_01180,QQB68888.1,,252602,252971,pos,,glutamate 5-kinase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002062119.1,dup_81
CDS_CP066016.1_3603881_3604523_neg,I6H93_17320,QQB66710.1,,3603881,3604523,neg,,hemolysin III family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996588.1,dup_56
CDS_CP066016.1_2869636_2871076_neg,I6H93_13795,QQB66068.1,,2869636,2871076,neg,,amino acid permease,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997293.1,dup_107
CDS_CP066016.1_2720291_2723297_pos,I6H93_13055,QQB65936.1,,2720291,2723297,pos,,Tn3 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_032495017.1,dup_4
CDS_CP066016.1_912881_913166_neg,I6H93_04420,QQB67903.1,,912881,913166,neg,,DUF2523 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000050492.1,dup_87
CDS_CP066016.1_160294_161446_neg,I6H93_00655,QQB67206.1,,160294,161446,neg,,class C extended-spectrum beta-lactamase ADC-11,,,,COORDINATES: similar to AA sequence:RefSeq:WP_059262723.1,dup_1
CDS_CP066016.1_3009143_3010234_pos,I6H93_14440,QQB66187.1,,3009143,3010234,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_27
CDS_CP066016.1_2883953_2884886_neg,I6H93_13865,QQB66081.1,,2883953,2884886,neg,,IS5-like element ISAba13 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001043692.1,dup_31
CDS_CP066016.1_2711105_2711810_neg,I6H93_13005,QQB65928.1,,2711105,2711810,neg,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_042893601.1,dup_49
CDS_CP066016.1_1849623_1850316_pos,I6H93_08915,QQB68741.1,nth,1849623,1850316,pos,,endonuclease III,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017816086.1,dup_52
CDS_CP066016.1_890899_891118_neg,I6H93_04255,QQB67871.1,,890899,891118,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002035543.1,dup_92
CDS_CP066016.1_2712908_2713088_neg,I6H93_13015,QQB65930.1,,2712908,2713088,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000902128.1,dup_102
CDS_CP066016.1_2426560_2427676_pos,I6H93_11610,QQB65677.1,,2426560,2427676,pos,,TniQ family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000081836.1,dup_28
CDS_CP066016.1_2713354_2714059_neg,I6H93_13025,QQB65931.1,,2713354,2714059,neg,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_042893601.1,dup_49
CDS_CP066016.1_236207_236384_pos,I6H93_01040,QQB67276.1,,236207,236384,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001001967.1,dup_105
CDS_CP066016.1_3717399_3718725_pos,I6H93_17905,QQB66812.1,,3717399,3718725,pos,,AAA family ATPase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000093323.1,dup_20
CDS_CP066016.1_3714667_3714883_neg,I6H93_17875,QQB66807.1,,3714667,3714883,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002052804.1,dup_117
